bladnr,download_link,download_size_bytes,einddatum,id,jaargang_luchtfoto,startdatum
228000_586000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_586000.zip,8230061,2026/01/01 00:59:59,3fef8b02-a6ea-501a-9a2d-22dfc2987309,2025,2025/01/01 01:00:00
228000_588000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_228000_588000.zip,4790889,2026/01/01 00:59:59,90068c00-a39c-515e-9087-8030e2efff2a,2025,2025/01/01 01:00:00
230000_562000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_562000.zip,9792707,2026/01/01 00:59:59,"034435cf-5daa-5075-a2dd-e03c41463e4a",2025,2025/01/01 01:00:00
230000_564000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_564000.zip,19897878,2026/01/01 00:59:59,7007bc96-8ada-5b44-a8ed-968ad061f3a9,2025,2025/01/01 01:00:00
230000_566000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_566000.zip,13050940,2026/01/01 00:59:59,52e44264-a8cd-59f4-bd1b-f5b13d7594cc,2025,2025/01/01 01:00:00
230000_568000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_568000.zip,10737290,2026/01/01 00:59:59,49423406-c4dc-5763-ad3c-a71425b678b7,2025,2025/01/01 01:00:00
230000_570000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_570000.zip,7844467,2026/01/01 00:59:59,d3153f08-d89d-5590-ad65-65f5733ec83d,2025,2025/01/01 01:00:00
230000_572000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_572000.zip,9063598,2026/01/01 00:59:59,be7c198d-497d-593b-9fce-0a54fa86f7ef,2025,2025/01/01 01:00:00
230000_574000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_574000.zip,22414991,2026/01/01 00:59:59,e49e0059-48ed-5071-9d71-be768c23bf89,2025,2025/01/01 01:00:00
230000_576000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_576000.zip,29959151,2026/01/01 00:59:59,76ebb5de-bf08-5c78-9d93-786fe3bd5955,2025,2025/01/01 01:00:00
230000_578000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_578000.zip,21186707,2026/01/01 00:59:59,724cc65d-538a-57a3-a915-ea8ed76a156a,2025,2025/01/01 01:00:00
230000_580000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_580000.zip,15546668,2026/01/01 00:59:59,285660be-c51f-5d07-b28d-33bbc4126d06,2025,2025/01/01 01:00:00
